path,regime,src,tgt,phase,lwf_weight,lwf_pi_weight,long_horizon_gamma,val_MR_epoch,val_minADE1_epoch,val_minADE6_epoch,val_minFDE1_epoch,val_minFDE6_epoch,pretrained_weights,lr,lr2,ttt_frequency,desc,bug_note,log_file
2026-06-03/21-51-33_i2nm_baseline_fgt,short,INTER,nusm,forgetting,0,0,-,0.235,0.865,0.515,2.516,1.333,outputs/forecast-mae-ttt-test_True/2026-06-03/21-50-57_i2nm_baseline_tgt/adapted_model.ckpt,0.0001,0.01,999999,inter->nusm->inter forgetting,-,2026-06-03/21-51-33_i2nm_baseline_fgt/test.log
2026-06-03/21-56-52_i2nm_lwfhorizon_tgt,short,INTER,nusm,target_lwf,0.3,0.05,2,0.345,1.687,1.058,4.1,2.127,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,12,inter->nusm target with LwF,-,2026-06-03/21-56-52_i2nm_lwfhorizon_tgt/test.log
2026-06-03/21-57-29_i2nm_lwfhorizon_fgt,short,INTER,nusm,forgetting_lwf,0.3,0.05,2,0.3,0.864,0.552,2.623,1.498,outputs/forecast-mae-ttt-test_True/2026-06-03/21-56-52_i2nm_lwfhorizon_tgt/adapted_model.ckpt,0.0001,0.01,999999,inter->nusm->inter forgetting w/ LwF,-,2026-06-03/21-57-29_i2nm_lwfhorizon_fgt/test.log
2026-06-03/22-25-00_i2l_baseline_tgt,short,INTER,lyft,target_withTTT,0,0,-,0.184,0.912,0.571,2.051,1.246,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,12,inter->lyft baseline TTT (repro today),-,2026-06-03/22-25-00_i2l_baseline_tgt/test.log
2026-06-03/22-37-00_i2l_baseline_fgt,short,INTER,lyft,forgetting,0,0,-,0.342,1.297,0.786,3.361,1.862,outputs/forecast-mae-ttt-test_True/2026-06-03/22-25-00_i2l_baseline_tgt/adapted_model.ckpt,0.0001,0.01,999999,inter->lyft->inter forgetting,-,2026-06-03/22-37-00_i2l_baseline_fgt/test.log
2026-06-03/22-42-17_i2l_lwfhorizon_tgt,short,INTER,lyft,target_lwf,0.3,0.05,2,0.34,1.128,0.86,2.391,1.755,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,12,inter->lyft target w/ LwF lam=0.3,-,2026-06-03/22-42-17_i2l_lwfhorizon_tgt/test.log
2026-06-03/22-54-25_i2l_lwfhorizon_fgt,short,INTER,lyft,forgetting_lwf,0.3,0.05,2,0.327,1.052,0.675,2.959,1.627,outputs/forecast-mae-ttt-test_True/2026-06-03/22-42-17_i2l_lwfhorizon_tgt/adapted_model.ckpt,0.0001,0.01,999999,inter->lyft->inter forgetting w/ LwF 0.3,-,2026-06-03/22-54-25_i2l_lwfhorizon_fgt/test.log
2026-06-03/23-21-32_i2l_l005_tgt,short,INTER,lyft,target_lwf,0.05,0.008,2,0.322,1.056,0.822,2.274,1.682,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,12,inter->lyft target lam=0.05,-,2026-06-03/23-21-32_i2l_l005_tgt/test.log
2026-06-03/23-38-56_i2l_l01_tgt,short,INTER,lyft,target_lwf,0.1,0.017,2,0.332,1.103,0.852,2.347,1.734,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,12,inter->lyft target lam=0.1,-,2026-06-03/23-38-56_i2l_l01_tgt/test.log
2026-06-03/23-56-23_i2l_l02_tgt,short,INTER,lyft,target_lwf,0.2,0.033,2,0.339,1.123,0.86,2.381,1.753,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,12,inter->lyft target lam=0.2,-,2026-06-03/23-56-23_i2l_l02_tgt/test.log
2026-06-04/00-13-52_i2l_l05_tgt,short,INTER,lyft,target_lwf,0.5,0.083,2,0.332,1.098,0.843,2.337,1.721,outputs/forecast-mae-ttt-test_False/2025-12-11/09-58-41_NLL_13_tr_inter_vl_lyftsample/checkpoints/epoch=1185.ckpt,0.0001,0.01,12,inter->lyft target lam=0.5,-,2026-06-04/00-13-52_i2l_l05_tgt/test.log
2026-07-02/19-15-18_i2l_l005_fgt,short,INTER,lyft,forgetting_lwf,0.05,0.008,2,0.354,1.096,0.712,3.081,1.738,outputs/forecast-mae-ttt-test_True/2026-06-03/23-21-32_i2l_l005_tgt/adapted_model.ckpt,0.0001,0.01,999999,inter->lyft->inter forgetting lam=0.05,-,2026-07-02/19-15-18_i2l_l005_fgt/test.log
2026-07-02/19-25-29_i2l_l01_fgt,short,INTER,lyft,forgetting_lwf,0.1,0.017,2,0.334,1.064,0.683,3.023,1.663,outputs/forecast-mae-ttt-test_True/2026-06-03/23-38-56_i2l_l01_tgt/adapted_model.ckpt,0.0001,0.01,999999,inter->lyft->inter forgetting lam=0.1,-,2026-07-02/19-25-29_i2l_l01_fgt/test.log
2026-07-02/19-32-28_i2l_l02_fgt,short,INTER,lyft,forgetting_lwf,0.2,0.033,2,0.322,1.043,0.67,2.953,1.618,outputs/forecast-mae-ttt-test_True/2026-06-03/23-56-23_i2l_l02_tgt/adapted_model.ckpt,0.0001,0.01,999999,inter->lyft->inter forgetting lam=0.2,-,2026-07-02/19-32-28_i2l_l02_fgt/test.log
2026-07-02/19-39-10_i2l_l05_fgt,short,INTER,lyft,forgetting_lwf,0.5,0.083,2,0.329,1.016,0.665,2.921,1.632,outputs/forecast-mae-ttt-test_True/2026-06-04/00-13-52_i2l_l05_tgt/adapted_model.ckpt,0.0001,0.01,999999,inter->lyft->inter forgetting lam=0.5,-,2026-07-02/19-39-10_i2l_l05_fgt/test.log
2026-07-02/19-45-46_reverify_i2n_fgt,short,INTER,nus,forgetting_reverify,0,0,-,0.365,1.341,0.72,3.71,1.898,outputs/forecast-mae-ttt-test_True/2026-05-11/11-12-18_withTTT_inter2nus/adapted_model.ckpt,0.0001,0.01,999999,reverify inter->nus->inter,-,2026-07-02/19-45-46_reverify_i2n_fgt/test.log
2026-05-12/21-54-29_noTTT_src_nus,long_short,NUS,-,source_baseline,-,-,-,0.048,0.61,0.267,1.531,0.578,outputs/forecast-mae-ttt-test_False/2026-05-09/23-46-15_tr_nus13_vl_nus13/checkpoints/epoch=44.ckpt,0.0001,0.01,999999,NUS source baseline (3s pred),-,2026-05-12/21-54-29_noTTT_src_nus/test.log
2026-05-12/22-12-52_noTTT_nus2lyft,long_short,NUS,lyft,target_noTTT,-,-,-,0.081,0.72,0.297,1.859,0.724,outputs/forecast-mae-ttt-test_False/2026-05-09/23-46-15_tr_nus13_vl_nus13/checkpoints/epoch=44.ckpt,0.0001,0.01,999999,nus->lyft no-TTT (3s pred),-,2026-05-12/22-12-52_noTTT_nus2lyft/test.log
2026-05-13/17-18-45_withTTT_nus2lyft,long_short,NUS,lyft,target_withTTT,0,0,-,0.105,0.793,0.309,2.011,0.84,outputs/forecast-mae-ttt-test_False/2026-05-09/23-46-15_tr_nus13_vl_nus13/checkpoints/epoch=44.ckpt,0.0001,0.01,12,nus->lyft with-TTT (3s pred),-,2026-05-13/17-18-45_withTTT_nus2lyft/test.log
